Date,Sediment - Fine_136106A_kilograms
2013-03-30,15389.9870366579
2013-03-31,14722.1399474432
2013-04-01,15063.398956119
2013-04-02,15477.2450937786
2013-04-03,15783.9484039742
2013-04-04,15624.1493022519
2013-04-05,15208.7577116921
2013-04-06,14803.8883738646
2013-04-07,14625.114402148
2013-04-08,14332.141255167
2013-04-09,14034.5778337584
2013-04-10,14107.7878643063
2013-04-11,14389.11686053
2013-04-12,14592.9439595859
2013-04-13,14709.1536362954
2013-04-14,14371.1658123693
2013-04-15,13573.8434799717
2013-04-16,12572.041193231
2013-04-17,11779.6383348874
2013-04-18,11223.7909615246
2013-04-19,10491.1023051816
2013-04-20,9826.07338322148
2013-04-21,9218.99805526215
2013-04-22,8596.92048641909
2013-04-23,7936.17691791427
2013-04-24,7333.20857588731
2013-04-25,6770.82486701214
2013-04-26,6304.0037630944
2013-04-27,5934.3266375741
2013-04-28,5637.81086828541
2013-04-29,5399.83783244205
2013-04-30,5229.57859520596
2013-05-01,5088.17673161059
2013-05-02,4914.20874594234
2013-05-03,4731.92730305575
2013-05-04,4543.85817805857
2013-05-05,4358.48396751427
2013-05-06,4270.12115069598
2013-05-07,4271.06571300961
2013-05-08,4334.03453397515
2013-05-09,4434.26385661251
2013-05-10,4512.34232429852
2013-05-11,4539.39160948794
